Rank,Sentence,Cloze,Word,POS,Definition,Translation,CEFR,Note
694,"Bringen Sie mir die {{c1::Speisekarte}}, bitte.",Speisekarte,die Speisekarte,n. F.,menu,"Bring me the menu, please.",A1,
695,Die Kinder {{c1::spielen}} draußen.,spielen,spielen,v.,play,The children are playing outside.,A1,
696,{{c1::Spielen}} Sie Karten?,Spielen,spielen,v.,Play,Do you play cards?,A1,
697,Ich mache viel {{c1::Sport}}.,Sport,der Sport,n. M.,Sports,I do a lot of sports.,A1,
698,Welche {{c1::Sprachen}} sprichst du?,Sprachen,die Sprache,n. F.,languages,What languages do you speak?,A1,
699,Kann ich (mit) Herrn Klein {{c1::sprechen}}?,sprechen,sprechen,v.,speak,Can I speak (with) Mr. Klein?,A1,
700,Heidelberg ist eine alte {{c1::Stadt}}.,Stadt,die Stadt,n. F.,City,Heidelberg is an old city.,A1,
701,"Ich glaube es nicht, aber es {{c1::steht}} in der Zeitung.",steht,stehen,v.,stands,"I don't believe it, but it's in the newspaper.",A1,
702,Der Bus {{c1::steht}} schon an der Haltestelle.,steht,stehen,v.,stands,The bus is already at the stop.,A1,
703,Ich habe eine neue {{c1::Stelle}}. ,Stelle,die Stelle,n. F.,Place,I have a new job. ,A1,
704,{{c1::Stell}} die Tasche rechts in die Ecke!,Stell,stellen,v.,Stell,Put the bag in the corner on the right!,A1,
705,Unsere Wohnung liegt im ersten {{c1::Stock}}.,Stock,der Stock,n. M.,floor,Our apartment is on the second floor.,A1,
706,In welcher {{c1::Straße}} wohnen Sie?,Straße,die Straße,n. F.,street,What street do you live on?,A1,
707,Wo fährt die {{c1::Straßenbahn}} ab?,Straßenbahn,die Straßenbahn,n. F.,streetcar,Where does the streetcar leave from?,A1,
708,Ich {{c1::studiere}} in Mainz.,studiere,studieren,v.,study,I study in Mainz.,A1,
709,Das {{c1::Studium}} beginnt im Oktober.,Studium,das Studium,n. N.,study,My studies start in October.,A1,
710,Ich bin {{c1::Studentin}}.,Studentin,der Student,n. M.,student,I am a student.,A1,
711,Ich bin in einer {{c1::Stunde}} zurück.,Stunde,die Stunde,n. F.,hour,I'll be back in an hour.,A1,
712,{{c1::Suchst}} du etwas? ,suchst,suchen,v.,search,Are you looking for something? ,A1,
713,{{c1::Tanzen}} Sie gern?,Tanzen,tanzen,n.,dance,Do you like dancing?,A1,
714,Ich habe die Schlüssel in der {{c1::Tasche}}.,Tasche,die Tasche,n. F.,Bag,I have the keys in my pocket.,A1,
715,Es gibt heute keinen Bus mehr. Er fährt mit dem {{c1::Taxi}}.,Taxi,das Taxi,n. N.,Cab,There's no bus today. He takes a cab.,A1,
716,Ich trinke morgens immer {{c1::Tee}}.,Tee,der Tee,n. M.,Tea,I always drink tea in the morning.,A1,
717,Lies bitte auch den zweiten {{c1::Teil}}.,Teil,der Teil,n. M.,part,Please read the second part too.,A1,
718,Darf ich mal {{c1::telefonieren}}?,telefonieren,telefonieren,v.,phone,May I use the phone?,A1,
719,Haben Sie {{c1::Telefon}}?,Telefon,das Telefon,n. N.,Phone,Do you have a phone?,A1,
720,Am besten machen wir sofort einen {{c1::Termin}}.,Termin,der Termin,n. M.,Appointment,It's best to make an appointment right away.,A1,
721,Der {{c1::Test}} war einfach.,Test,der Test,n. M.,test,The test was easy.,A1,
722,Das ist mir zu {{c1::teuer}}.,teuer,teuer,adv.,expensive,It's too expensive for me.,A1,
723,Lesen Sie bitte diesen {{c1::Text}}.,Text,der Text,n. M.,Text,Please read this text.,A1,
724,Wir sprechen heute über das {{c1::Thema}} „Essen und Trinken“.,Thema,das Thema,n. N.,Theme,We're talking about food and drink today.,A1,
725,Wie viel kostet das {{c1::Ticket}}?,Ticket,das Ticket,n. N.,Ticket,How much is the ticket?,A1,
726,Die Fotos liegen auf dem {{c1::Tisch}}.,Tisch,der Tisch,n. M.,Table,The photos are on the table.,A1,
727,Das ist meine {{c1::Tochter}} Katharina.,Tochter,die Tochter,n. F.,Daughter,This is my daughter Katharina.,A1,
728,"Wo ist die {{c1::Toilette}}, bitte?",Toilette,die Toilette,n. F.,Toilet,"Where is the toilet, please?",A1,
729,Die {{c1::Tomate}} ist noch grün.,Tomate,die Tomate,n. F.,tomato,The tomato is still green.,A1,
730,Sein Vater ist schon lange {{c1::tot}}.,tot,tot,adv.,dead,His father has been dead for a long time.,A1,
731,Ich {{c1::treffe}} in der Stadt einen Kollegen.,treffe,(sich) treffen,v.,meet,I meet a colleague in the city.,A1,
732,Wir {{c1::treffen}} uns immer freitags.,treffen,(sich) treffen,v.,meet,We always meet on Fridays.,A1,
733,Die Toilette? Die {{c1::Treppe}} hoch und dann links.,Treppe,die Treppe,n. F.,stairs,The restroom? Up the stairs and to the left.,A1,
734,Möchtest du etwas {{c1::trinken}}?,trinken,trinken,v.,drink,Would you like something to drink?,A1,
735,Junge Leute sagen meistens „{{c1::tschüss}}!“ und nicht „auf Wiedersehen“.,tschüss,tschüss,n.,bye,"Young people usually say ""bye!"" and not ""goodbye.""",A1,
736,Ich habe noch etwas zu {{c1::tun}}.,tun,tun,v.,do,I have something to do.,A1,
737,Was {{c1::tut}} Ihr Mann? ,tut,tun,v.,does,What is your husband doing? ,A1,
738,Gehen Sie hier {{c1::über}} die Straße.,über,über,prep.,about,Cross the street here.,A1,
739,Er wohnt im zweiten Stock {{c1::über}} Familie Meier.,über,über,prep.,about,He lives on the second floor above the Meier family.,A1,
740,Sind Sie {{c1::über}} 18?,über,über,prep.,about,Are you over 18?,A1,
741,Du kannst bei mir {{c1::übernachten}}.,übernachten,übernachten,v.,stay over,You can stay at my place.,A1,
742,Sie können das Geld auch {{c1::überweisen}}.,überweisen,überweisen,v.,transfer,You can also transfer the money.,A1,
743,Es ist vier {{c1::Uhr}}.,Uhr,die Uhr,n. F.,clock,It's four o'clock.,A1,
744,Er kommt {{c1::um}} sieben Uhr.,um,um,prep.,at,He'll be here at seven.,A1,
745,Da kommt er gerade {{c1::um}} die Ecke.,um,um,prep.,at,He's just coming around the corner.,A1,
746,Nächsten Monat ziehen wir {{c1::um}}.,um,umziehen,prep.,at,We're moving next month.,A1,
747,Peter {{c1::und}} Helmut sind meine Söhne. ,und,und,conj.,and,Peter and Helmut are my sons. ,A1,
748,Das ist {{c1::unsere}} Lehrerin.,unsere,unser-,det.,our,This is our teacher.,A1,
749,Er wohnt ganz {{c1::unten}} im Haus.,unten,unten,adv.,below,He lives at the bottom of the house.,A1,
750,{{c1::Unter}} uns wohnt eine Familie mit drei Kindern.,unter,unter,prep.,at,Below us lives a family with three children.,A1,
751,Wir haben {{c1::Unterricht}} von 8.00 bis 12.00 Uhr.,Unterricht,der Unterricht,n. M.,Lessons,We have classes from 8:00 to 12:00.,A1,
752,Wo muss ich {{c1::unterschreiben}}?,unterschreiben,unterschreiben,v.,sign,Where do I sign?,A1,
753,Hier fehlt noch Ihre {{c1::Unterschrift}}.,Unterschrift,die Unterschrift,n. F.,Signature,Your signature is still missing here.,A1,
754,Ich nehme im September {{c1::Urlaub}}. ,Urlaub,der Urlaub,n. M.,Vacation,I'm taking a vacation in September. ,A1,
755,Mein {{c1::Vater}} ist Arbeiter.,Vater,der Vater,n. M.,father,My father is a worker.,A1,
756,Hier ist Rauchen {{c1::verboten}}.,verboten,verboten,v.,forbidden,Smoking is not allowed here.,A1,
757,Ich {{c1::verdiene}} 1.500 Euro im Monat.,verdiene,verdienen,v.,earn,"I earn 1,500 euros a month.",A1,
758,Es gibt einen neuen {{c1::Sportverein}} in der Stadt.,Sportverein,der Sportverein,n. M.,sports club,There is a new sports club in town.,A1,
759,Ich bin {{c1::verheiratet}} und habe drei Kinder.,verheiratet,verheiratet,v.,married,I am married and have three children.,A1,
760,Er {{c1::verkauft}} sein altes Auto.,verkauft,verkaufen,v.,sells,He is selling his old car.,A1,
761,Meine Mutter ist {{c1::Verkäuferin}} im Kaufhaus.,Verkäuferin,die Verkäuferin,n. F.,saleswoman,My mother is a saleswoman in a department store.,A1,
762,Die Wohnung ist schon {{c1::vermietet}}.,vermietet,vermieten,v.,rents,The apartment is already rented.,A1,
763,Unser {{c1::Vermieter}} heißt Huber. Er wohnt auch hier.,Vermieter,der Vermieter,n. M.,landlord,"Our landlord's name is Huber. He lives here, too.",A1,
764,Können Sie mich {{c1::verstehen}}?,verstehen,verstehen,v.,understand,Can you understand me?,A1,
765,Peter besucht seine {{c1::Verwandten}} in Polen.,Verwandten,der Verwandte,n. M.,relatives,Peter is visiting his relatives in Poland.,A1,
766,Hier regnet es {{c1::viel}}.,viel,viel,pron.,much,It rains a lot here.,A1,
767,Ich komme {{c1::vielleicht}} mit dem Bus.,vielleicht,vielleicht,adv.,perhaps,I might come by bus.,A1,
768,Das Auto {{c1::von}} Felix ist kaputt.,von,von,prep.,from,Felix's car is broken.,A1,
769,Er kommt gerade {{c1::von}} Köln/{{c1::von}} zu Hause.,von,von,prep.,from,He just came from Cologne/home.,A1,
770,Der Termin war {{c1::vor}} einer Stunde.,vor,vor,prep.,from,The appointment was an hour ago.,A1,
771,Das Auto steht {{c1::vor}} der Tür.,vor,vor,prep.,before,The car is in front of the door.,A1,
772,"Ich heiße Müller, mein {{c1::Vorname}} ist Eva.",Vorname,der Vorname,n. M.,first name,"My name is Müller, my first name is Eva.",A1,
773,{{c1::Vorsicht}}! Da kommt ein Auto.,Vorsicht,die Vorsicht,n. F.,caution,Watch out! There's a car coming.,A1,
774,Wir wollen uns kennenlernen. Können Sie sich bitte {{c1::vorstellen}}?,vorstellen,(sich) vorstellen,v.,introduce,We want to get to know each other. Can you please introduce yourself?,A1,
775,Wie ist die {{c1::Vorwahl}} von München? ,Vorwahl,die Vorwahl,n. F.,prefix,What is the area code of Munich? ,A1,
776,Wir wandern um den Chiemsee. ,wardern,wandern,v.,wardern,We're hiking around the Chiemsee. ,A1,
777,{{c1::Wann}} bist du fertig?,Wann,wann,adv.,When,When will you be ready?,A1,
778,{{c1::Wann}} kann ich Sie anrufen?,Wann,wann,adv.,When,When can I call you?,A1,
779,{{c1::Wann}} sind Sie geboren?,Wann,wann,adv.,When,When were you born?,A1,
780,Können Sie ein paar Minuten {{c1::warten}}? ,warten,warten,v.,wait,Can you wait a few minutes? ,A1,
781,Auf wen {{c1::warten}} Sie? ,warten,warten,v.,wait,Who are you waiting for? ,A1,
782,{{c1::Warum}} kommt er nicht?,Warum,warum,adv.,Why,Why doesn't he come?,A1,
783,{{c1::Was}} ist das?,Was,was,pron.,What,What is it?,A1,
784,{{c1::Was}} möchten Sie?,Was,was,pron.,What,What do you want?,A1,
785,{{c1::Was}} {{c1::für}} {{c1::eine}} Farbe möchten Sie?,Was für eine,was für ein,,What,What color do you want?,A1,
786,Wo kann ich mir die Hände {{c1::waschen}}? ,waschen,(sich) waschen,v.,wash,Where can I wash my hands? ,A1,
787,Ich muss morgen {{c1::waschen}}. ,waschen,(sich) waschen,v.,wash,I have to wash tomorrow. ,A1,
788,"Ein Glas {{c1::Wasser}}, bitte.",Wasser,das Wasser,n. N.,Water,"A glass of water, please.",A1,
789,Ich muss zum Arzt. Mein Bein {{c1::tut}} {{c1::weh}}.,tut weh,weh tun,,hurts,I need to see a doctor. My leg hurts.,A1,
790,Kreuzen Sie bitte an: „{{c1::weiblich}}“ oder „männlich“.,weiblich,weiblich,adv.,female,"Please mark with a cross: ""female"" or ""male"".",A1,
791,"Nein danke, ich möchte keinen {{c1::Wein}}.",Wein,der Wein,n. M.,wine,"No thanks, I don't want wine.",A1,
792,Zum Bahnhof ist es nicht {{c1::weit}}. ,weit,weit,adv.,far,It's not far to the station. ,A1,
793,Der Bus fährt nicht {{c1::weiter}}.,weiter,weiter,adv.,far,The bus doesn't go any further.,A1,
794,{{c1::Welches}} Buch möchtest du?,Welches,welche-,det.,Which,Which book would you like?,A1,
795,Es gibt viele Probleme auf der {{c1::Welt}}.,Welt,die Welt,n. F.,world,There are many problems in the world.,A1,
796,Ich habe leider nur {{c1::wenig}} verstanden.,wenig,wenig,pron.,little,I'm afraid I understood very little.,A1,
797,Er verdient {{c1::wenig}}.,wenig,wenig,pron.,little,He doesn't earn much.,A1,
798,{{c1::Wer}} ist das?,Wer,wer,pron.,Who,Who is he?,A1,
799,Mein Sohn will Arzt {{c1::werden}}.,werden,werden,aux.,become,My son wants to be a doctor.,A1,
800,Wir hatten schlechtes {{c1::Wetter}}.,Wetter,das Wetter,n. N.,weather,We had bad weather.,A1,
801,Dieses Formular ist sehr {{c1::wichtig}}.,wichtig,witchtig,adv.,important,This form is very important.,A1,
802,{{c1::Wie}} heißt du?,Wie,wie,adv.,How,What is your name?,A1,
803,Er schreibt {{c1::wie}} ein Kind.,wie,wie,prep.,how,He writes like a child.,A1,
804,Meine Frau ist so groß {{c1::wie}} ich.,wie,wie,prep.,How,My wife is as tall as me.,A1,
805,{{c1::Wie}} soll ich das machen?,Wie,wie,adv.,Like,How should I do it?,A1,
806,{{c1::Wie}} groß ist die Wohnung?,Wie,wie,adv.,How,How big is the apartment?,A1,
807,{{c1::Wie}} bitte?,Wie,wie,adv.,How,Excuse me?,A1,
808,{{c1::Wie}} lange bist du schon hier?,Wie,wie,adv.,how,How long have you been here?,A1,
809,Können Sie das bitte {{c1::wiederholen}}?,wiederholen,wiederholen,v.,repeat,"Can you repeat that, please?",A1,
810,Wir müssen jetzt Schluss machen. Also auf {{c1::Wiederhören}}!,Wiederhören,das Wiederhören,n. N.,Goodbye,We have to break up now. So goodbye!,A1,
811,Auf {{c1::Wiedersehen}}!,Wiedersehen,das Wiedersehen,n. N.,Reunion,Goodbye!,A1,
812,{{c1::Wie}} {{c1::viel}} Milch nehmen Sie?,Wie viel,wie viel,,How much,How much milk do you take?,A1,
813,Herzlich {{c1::willkommen}}!,willkommen,willkommen,adv.,welcome,Welcome!,A1,
814,Der {{c1::Wind}} kommt aus Osten.,Wind,der Wind,n. M.,Wind,The wind comes from the east.,A1,
815,{{c1::Wir}} lernen Deutsch.,Wir,wir,pron.,We,We're learning German.,A1,
816,"{{c1::Weißt}} du, wie er heißt?",Weißt,wissen,v.,Know,Do you know his name?,A1,
817,{{c1::Wo}} waren Sie im Urlaub?,Wo,wo,adv.,Where,Where were you on vacation?,A1,
818,{{c1::Wo}} ist die Post?,Wo,wo,adv.,Where,Where is the post office?,A1,
819,{{c1::Wo}} sind Sie geboren?,Wo,wo,adv.,Where,Where were you born?,A1,
820,{{c1::Woher}} kommen Sie?,Woher,woher,adv.,Where from,Where are you from?,A1,
821,{{c1::Wohin}} fährt dieser Bus?,Wohin,wohin,adv.,Where,Where is this bus going?,A1,
822,{{c1::Wohin}} wollen Sie am Wochenende?,Wohin,wohin,adv.,Where to,Where are you going this weekend?,A1,
823,Ich {{c1::wohne}} in München.,wohne,wohnen,v.,live,I live in Munich.,A1,
824,Seit wann haben Sie diese {{c1::Wohnung}}?,Wohnung,die Wohnung,n. F.,Apartment,How long have you had this apartment?,A1,
825,{{c1::Wollen}} Sie einen Kaffee trinken?,Wollen,wollen,aux.,Want,Would you like to have a coffee?,A1,
826,Ich kenne das {{c1::Wort}} nicht.,Wort,das Wort,n. N.,word,I don't know the word.,A1,
827,Das Essen schmeckt {{c1::wunderbar}}. ,wunderbar,wunderbar,adv.,wonderful,The food is wonderful. ,A1,
828,"{{c1::Zahlen}}, bitte!",Zahlen,zahlen,n. Pl.,numbers,"Check, please!",A1,
829,Ich habe heute keine {{c1::Zeit}}.,Zeit,die Zeit,n. F.,Time,I don't have time today.,A1,
830,{{c1::Zurzeit}} habe ich sehr viel zu tun.,Zurzeit,zurzeit,n.,Currently,I'm very busy at the moment.,A1,
831,Ich lese gern {{c1::Zeitung}}.,Zeitung,die Zeitung,n. F.,Newspaper,I like to read the newspaper.,A1,
832,Wie teuer sind die {{c1::Zigaretten}}?,Zigaretten,die Zigarrete,n. F.,Cigarettes,How much are the cigarettes?,A1,
833,Das {{c1::Zimmer}} ist groß.,Zimmer,das Zimmer,n. N.,Room,The room is big.,A1,
834,"Öffne im {{c1::Schlafzimmer}} das Fenster, bitte!",Schlafzimmer,das Schlafzimmer,n. N.,Bedroom,"Open the window in the bedroom, please!",A1,
835,Die Wohnung hat drei {{c1::Zimmer}}.,Zimmer,das Zimmer,n. N.,Room,The apartment has three rooms.,A1,
836,Ich habe ein {{c1::Zimmer}} bestellt.,Zimmer,das Zimmer,n. N.,Room,I've ordered one room.,A1,
837,Wir müssen noch durch den {{c1::Zoll}}.,Zoll,der Zoll,n. M.,Inch,We still have to go through customs.,A1,
838,Der Bus fährt {{c1::zum}} Bahnhof.,zum,zu,prep.,to,The bus is going to the station.,A1,
839,Ich gehe {{c1::zu}} Fuß.,zu,zu,prep.,to,I'll walk.,A1,
840,Ich bin {{c1::zu}} Hause. ,zu,zu,prep.,to,I am at home. ,A1,
841,Ich bin mit der Wohnung {{c1::zufrieden}}.,zufrieden,zufrieden,adv.,satisfied,I am happy with the apartment.,A1,
842,Ich fahre gern mit dem {{c1::Zug}}.,Zug,der Zug,n. M.,Train,I like to take the train.,A1,
843,Einmal Frankfurt und {{c1::zurück}}.,zurück,zurück,adv.,back,Once to Frankfurt and back.,A1,
844,Wann kommst du {{c1::zurück}}? ,zurück,zurück,adv.,back,When will you be back? ,A1,
845,Sollen wir {{c1::zusammen}} essen gehen?,zusammen,zusammen,adv.,together,Shall we have dinner together?,A1,
846,Das macht {{c1::zusammen}} 2 Euro 80.,zusammen,zusammen,adv.,together,That's 2 Euro 80 together.,A1,
847,Heidelberg liegt {{c1::zwischen}} Frankfurt und Stuttgart.,zwischen,zwischen,prep.,between,Heidelberg is between Frankfurt and Stuttgart.,A1,
848,{{c1::Zwischen}} 8 und 10 Uhr bin ich zu Hause.,zwischen,zwischen,prep.,between,I'll be home between 8 and 10.,A1,
